.................
Ayoub EL GHEBOULI
/////////////////
This txt file contains the comparative results of the different detectors, descriptors and matching of points of interest (46 methods) for scenarios 4, 5, 6, and 7.

................................................
The console display for scenarios 4, 5, 6 and 7:
................................................

+---------------------------------------------------------------------------------------------------+
|                                      Results of scenario 4                                        |
+--------------------+-----------------------+------------------------+-----------------------------+
|      Method        |   Execution time (s)  | Number of points/image |  Correct matching rate (%)  |
+--------------------+-----------------------+------------------------+-----------------------------+
| fast-latch_bf.HAMG |         3.055         |        4827.04         |            89.18            |
| fast-brief_bf.HAMG |         0.999         |        4770.64         |             85.5            |
| star-latch_bf.HAMG |         0.227         |         443.94         |            82.684           |
| star-brief_bf.HAMG |         0.054         |         436.06         |            80.221           |
|     kaze_bf.L1     |         2.039         |        1786.84         |            78.101           |
|     kaze_bf.L2     |         2.042         |        1766.16         |            76.676           |
|  star-brief_bf.L1  |         0.059         |         424.56         |            74.953           |
|  star-latch_bf.L1  |         0.231         |         417.92         |            73.534           |
|    akaze_bf.L1     |         0.424         |        1212.32         |            73.329           |
|  fast-brief_bf.L1  |         1.739         |        4495.82         |            73.161           |
|  fast-latch_bf.L1  |         3.824         |        4457.48         |            71.285           |
|    akaze_bf.L2     |         0.415         |        1188.22         |            70.237           |
|  star-brief_bf.L2  |         0.059         |         413.64         |            69.437           |
| mser-latch_bf.HAMG |         0.674         |         206.86         |            65.689           |
|  star-latch_bf.L2  |         0.231         |         400.66         |            65.597           |
| star-freak_bf.HAMG |         0.064         |         385.08         |            65.109           |
| mser-brief_bf.HAMG |         0.569         |         204.46         |            61.996           |
|    brisk_bf.L1     |         1.161         |        2425.68         |            61.976           |
|  fast-brief_bf.L2  |         1.672         |        4340.56         |            60.888           |
|     sift_bf.L1     |         1.569         |         1963.5         |            60.219           |
| fast-freak_bf.HAMG |         1.272         |        4489.76         |            60.033           |
| mser-freak_bf.HAMG |         0.571         |         170.62         |            58.69            |
|    brisk_bf.L2     |         1.099         |        2395.58         |            58.56            |
|  star-freak_bf.L1  |         0.077         |         377.34         |            58.174           |
|     sift_bf.L2     |         1.576         |        1986.48         |            58.136           |
|  fast-latch_bf.L2  |         3.743         |        4253.62         |            57.12            |
|     orb_bf.L1      |         0.051         |         297.78         |            56.503           |
|  mser-brief_bf.L1  |         0.567         |         205.2          |            55.148           |
|  mser-freak_bf.L1  |         0.573         |         172.42         |            53.83            |
|  mser-latch_bf.L1  |         0.676         |         206.66         |            53.729           |
|  star-freak_bf.L2  |         0.077         |         373.14         |            53.141           |
|  mser-freak_bf.L2  |         0.573         |         172.02         |            51.08            |
|  mser-brief_bf.L2  |         0.567         |         203.24         |            50.383           |
|     orb_bf.L2      |         0.044         |         289.5          |            49.296           |
|  fast-freak_bf.L1  |         3.542         |        4349.84         |            48.913           |
|  mser-latch_bf.L2  |         0.677         |         200.64         |            48.435           |
|  fast-freak_bf.L2  |         3.343         |        4257.88         |            40.785           |
|  mser-lucid_bf.L2  |         0.564         |         222.8          |            17.984           |
|  mser-lucid_bf.L1  |         0.568         |         223.76         |            17.302           |
|  star-lucid_bf.L2  |          0.05         |         355.12         |            14.731           |
|  star-lucid_bf.L1  |         0.051         |         356.98         |            14.206           |
| mser-lucid_bf.HAMG |         0.562         |         235.22         |            11.745           |
| star-lucid_bf.HAMG |         0.048         |         367.18         |            9.617            |
|  fast-lucid_bf.L2  |          1.99         |        4654.48         |            7.103            |
|  fast-lucid_bf.L1  |          1.97         |        4695.62         |            6.781            |
| fast-lucid_bf.HAMG |         1.546         |        4965.14         |             4.62            |
+--------------------+-----------------------+------------------------+-----------------------------+

+---------------------------------------------------------------------------------------------------+
|                                      Results of scenario 5                                        |
+--------------------+-----------------------+------------------------+-----------------------------+
|      Method        |   Execution time (s)  | Number of points/image |  Correct matching rate (%)  |
+--------------------+-----------------------+------------------------+-----------------------------+
| fast-latch_bf.HAMG |         3.471         |        5151.857        |            83.27            |
| fast-brief_bf.HAMG |         1.227         |        5207.939        |            81.307           |
| star-latch_bf.HAMG |         0.234         |        456.714         |            80.768           |
| star-brief_bf.HAMG |         0.058         |        451.776         |            79.189           |
|     kaze_bf.L1     |         2.068         |        1778.714        |            75.814           |
|  star-brief_bf.L1  |         0.063         |        440.347         |             74.9            |
|     kaze_bf.L2     |         2.068         |        1758.898        |            74.361           |
|    akaze_bf.L1     |         0.442         |        1233.714        |            74.236           |
|  star-latch_bf.L1  |         0.239         |        430.408         |            72.623           |
|    akaze_bf.L2     |         0.431         |        1214.939        |            70.905           |
|  fast-brief_bf.L1  |         2.114         |        4981.796        |            70.117           |
|  star-brief_bf.L2  |         0.064         |        428.796         |            69.94            |
|  fast-latch_bf.L1  |         4.367         |        4868.653        |            66.935           |
|  star-latch_bf.L2  |          0.24         |        410.714         |            65.647           |
| star-freak_bf.HAMG |         0.069         |        399.265         |            65.557           |
